Name,Latitude,Longitude,Incorportation_date,pop_april_1980,pop_april_1990,pop_april_2000,pop_april_2010,area-km2
Hawthorne,33.916403,-118.352575,1907,18070,18219,18566,19506,19
Hayward,37.668819,-122.080797,1988,,50418,62582,90173,73
Healdsburg,38.610467,-122.869161,1961,1760,1729,1875,1856,30
Hemet,33.747519,-116.971967,1987,,34439,44605,53104,6
Hercules,38.017144,-122.288581,1910,10372,10667,10825,10825,54
Hermosa Beach,33.862236,-118.399519,1872,11488,19212,34413,34928,84
Hesperia,34.426389,-117.300878,1908,4399,4820,5612,5939,22
Hidden Hills,34.160283,-118.652311,1972,2943,3259,3980,6640,40
Highland,34.128344,-117.20865,1909,170505,181519,189594,189992,89
Hollister,36.852453,-121.401603,1906,45932,56065,61348,58114,18
Holtville,32.811161,-115.380264,1951,2768,4766,6306,6754,1
Hughson,37.602725,-120.866481,1904,3451,4113,7560,14758,57
Huntington Beach,33.660297,-117.999225,1956,22689,26512,26992,26324,61
Huntington Park,33.981681,-118.225072,1967,1394,2647,3816,4958,45
Huron,36.202731,-120.102917,1930,21611,36793,49116,76036,50
Imperial,32.847553,-115.569439,1957,412,631,777,219,27
Imperial Beach,32.583944,-117.113086,1908,94162,109602,112580,109673,31
Indian Wells,33.717631,-116.340756,1953,2207,6516,7129,7918,36
Indio,33.720578,-116.215561,1971,62134,110330,143072,212375,77
Industry,34.019733,-117.958675,1957,1030,1050,1446,1422,80
Inglewood,33.961681,-118.353131,1923,914,833,828,804,8
Ione,38.352692,-120.932717,1905,2331,3545,3989,4651,82
Irvine,33.683947,-117.794694,1946,4002,5448,8551,13544,3
Irwindale,34.106953,-117.935342,1911,5495,7634,11204,12874,24
Isleton,38.161861,-121.611622,1908,5115,7205,9199,11382,5
Jackson,38.348803,-120.774103,1976,20153,19378,20318,20246,50
Jurupa Valley,33.999522,-117.475397,1925,45232,51266,58974,60239,1
Kerman,36.723558,-120.059878,1978,4786,6226,5712,5325,98
King City,36.212744,-121.126028,1912,50308,52931,54749,57065,79
Kingsburg,36.513839,-119.554017,1960,40986,40452,46783,48527,59
La Cañada Flintridge,34.206817,-118.200028,1955,15399,15392,15408,15568,15
La Habra,33.931958,-117.946172,1956,30882,36955,41063,39816,88
La Habra Heights,33.960847,-117.950619,1982,,11215,23694,37467,42
La Mesa,32.767828,-117.023083,1906,23508,30897,31638,31063,48
La Mirada,33.917236,-118.012008,1968,20837,23501,23908,23893,51
La Palma,33.846403,-118.046731,1927,17858,23170,23727,22723,50
La Puente,34.020011,-117.949508,1989,,44400,61891,62979,88
La Quinta,33.646692,-116.310008,1888,5982,18285,28928,51821,66
La Verne,34.100842,-117.767836,1888,3675,4390,4820,4753,96
Lafayette,37.885758,-122.118019,1954,74654,73557,79345,80048,69
Laguna Beach,33.542247,-117.783111,1977,48027,97291,118718,156633,95
Laguna Hills,33.599722,-117.699444,1908,11064,11070,12014,11926,7
